Episode Fish 	 Reward
124	0	 0.2499999
125	0	 0.2999999
126	0	 -2.799998
127	0	 0.2499999
128	0	 0.2999999
129	0	 -0.2499999
130	0	 -1.8
131	0	 -1.65
132	3	 3.35
133	1	 -0.8500001
134	0	 0.2999999
135	0	 0.2999999
136	1	 1.35
137	0	 -3.399999
138	0	 -0.3999997
139	0	 0.2499999
140	1	 1.35
141	0	 -0.15
142	1	 0.5499998
143	1	 0.8999999
144	0	 0.2499999
145	0	 0.1999999
146	0	 0.04999983
147	0	 0.2999999
148	0	 0.2999999
149	0	 0.2999999
150	2	 2.4
151	0	 -1.9
152	0	 -3.699999
153	0	 -1.35
154	1	 1.35
155	1	 -1.95
156	1	 -1.349998
157	0	 1
158	1	 1.35
159	2	 1.45
160	2	 1.75
161	1	 1.1
162	1	 1.35
163	0	 -0.4499997
164	0	 1
165	0	 -0.8499993
166	1	 0.1499999
167	0	 -2.549998
168	0	 -0.8999993
169	0	 -1.85
170	0	 -1.85
171	2	 0.2500007
172	0	 -10.85003
173	0	 1
174	1	 -19.75
175	2	 -7.650007
176	1	 -0.05000001
177	0	 -1.25
178	0	 -2.15
179	1	 -0.249999
180	1	 -5.650007
181	1	 0.6999998
182	1	 0.1500006
183	0	 -2.949997
184	0	 -0.1999999
185	1	 0.5000001
186	1	 0.05000049
187	0	 -1.55
188	0	 -1.55
189	2	 1
190	0	 -1.15
191	0	 -0.1
192	0	 0.1499999
193	0	 0.09999985
194	2	 0.3500005
195	0	 -3.8
196	0	 -0.7999994
197	1	 0.4999999
198	1	 1.1
199	0	 0.2499999
200	0	 1
201	1	 -0.3499999
202	0	 -1.049999
203	0	 -0.3999997
204	0	 1
205	0	 0.2499999
206	0	 -0.2999998
207	0	 0.2499999
208	0	 0.2499999
209	1	 0.5999999
210	0	 -1.6
211	0	 -1.1
212	0	 0.2499999
213	0	 -1.299999
214	1	 1.3
215	0	 -1.399999
216	0	 -0.2999998
217	0	 0.1499999
218	0	 -0.4999996
219	0	 -0.3499998
220	0	 -0.4999996
221	1	 1.3
222	0	 0.2499999
223	0	 0.1999999
224	0	 1
225	0	 0.1999999
226	0	 0.1499999
227	1	 -0.1500001
228	0	 -1.65
229	0	 -0.4499997
230	0	 0.1999999
231	1	 1.5
232	0	 -0.3999997
233	0	 0.3499999
234	2	 2.35
235	0	 0.2499999
236	0	 -0.1
237	0	 -1.699999
238	1	 1.3
239	0	 -0.3499998
240	1	 0.2499999
241	1	 0.6500002
242	0	 1
243	2	 -1.049998
244	0	 0.2499999
245	0	 0.2499999
246	1	 1.3
247	0	 1
248	2	 1.600001
249	0	 0.1499999
250	1	 1.25
251	0	 -1.55
252	0	 -0.2999998
253	0	 -1.1
254	0	 -1.1
255	0	 -1
256	0	 -0.1999999
257	0	 0.3499999
258	0	 1
259	1	 -0.2
260	0	 0.2499999
261	0	 0.3999999
262	0	 0.3999999
263	0	 0.3999999
264	1	 1.4
265	0	 0.2499999
266	0	 0.4499999
267	0	 0.2999999
268	0	 0.3499999
269	0	 0.4499999
270	0	 0.1999999
271	0	 0.2499999
272	0	 0.4499999
273	2	 2.5
274	0	 0.2499999
275	1	 1.4
276	0	 1
277	0	 0.3999999
278	0	 0.3999999
279	0	 0.3999999
280	0	 -2.699999
281	0	 0.4499999
282	1	 1.35
283	1	 1.45
284	0	 0.4499999
285	0	 -1.192093E-07
286	0	 0.4499999
287	0	 0.2999999
288	0	 0.4499999
289	0	 1
290	0	 0.1999999
291	1	 0.2500005
292	0	 0.3999999
293	0	 1
294	1	 0.7499999
295	0	 1
296	1	 0.9499999
297	0	 1
298	0	 -0.8999993
299	1	 -2.499998
300	1	 1.3
301	1	 1.4
302	1	 0.8
303	1	 1.5
304	0	 0.4499999
305	0	 -0.5999995
306	0	 0.3499999
307	0	 0.4499999
308	0	 0.3499999
309	0	 0.3999999
310	0	 0.3499999
311	0	 0.3999999
312	0	 -0.5499996
313	0	 -1.192093E-07
314	0	 0.3999999
315	0	 0.4499999
316	0	 -0.1
317	0	 0.3499999
318	0	 0.2999999
319	0	 0.4499999
320	0	 0.4499999
321	1	 1.5
322	0	 1
323	0	 0.09999985
324	2	 2.05
325	0	 0.4499999
326	0	 1
327	0	 -0.3499998
328	2	 2.4
329	0	 -0.3499998
330	0	 0.4499999
331	0	 0.4499999
332	0	 -0.6999995
333	0	 0.4499999
334	0	 0.4499999
335	0	 0.1999999
336	0	 0.4499999
337	1	 1.5
338	0	 0.3499999
339	0	 -0.3999997
340	0	 0.09999985
341	1	 -0.8999994
342	1	 1.3
343	0	 0.3999999
344	0	 0.4499999
345	0	 0.3999999
346	0	 0.2499999
347	0	 0.2999999
348	1	 0.3999999
349	0	 0.4499999
350	0	 0.1499999
351	0	 0.4499999
352	0	 -0.9499992
353	0	 1
354	0	 0.2999999
355	0	 0.3999999
356	0	 0.3999999
357	0	 -0.2999998
358	0	 0.2999999
359	0	 0.3499999
360	0	 0.4499999
361	0	 0.4499999
362	0	 0.2999999
363	0	 -2.849998
364	0	 -1.549999
365	0	 0.4499999
366	0	 0.4499999
367	0	 0.3999999
368	1	 -0.5999994
369	0	 -0.7999994
370	1	 1.45
371	0	 0.4499999
372	0	 0.3999999
373	0	 0.3499999
374	0	 0.3999999
375	0	 1
376	2	 2.15
377	0	 0.4499999
378	1	 1.5
379	1	 1.5
380	2	 2.5
381	2	 2.150001
382	0	 0.4499999
383	0	 0.4499999
384	0	 0.2999999
385	0	 -2.349998
386	0	 0.4499999
387	0	 0.4499999
388	0	 -0.8999993
389	0	 0.2999999
390	0	 0.2499999
391	2	 2.5
392	2	 0.8500007
393	0	 0.4499999
394	0	 0.2999999
395	1	 0.8999999
396	0	 0.2499999
397	2	 2.55
398	1	 0.9499999
399	0	 0.4499999
400	1	 1.5
401	1	 1.5
402	0	 1
403	1	 -1.25
404	1	 6.556511E-07
405	1	 1.45
406	1	 0.8499999
407	0	 0.3999999
408	1	 0.2499999
409	1	 -0.1499997
410	2	 1.950001
411	0	 0.3499999
412	1	 1.3
413	0	 0.1999999
414	0	 1
415	1	 -2.199998
416	1	 1.5
417	0	 -1.199999
418	0	 0.4499999
419	0	 0.4499999
420	0	 0.3999999
421	0	 0.4499999
422	0	 -0.5999995
423	0	 -2.15
424	0	 0.3999999
425	0	 -0.4499997
426	1	 0.6499999
427	0	 -1.6
428	0	 0.2499999
429	0	 -0.3999997
430	0	 -0.5999995
431	0	 -0.9999992
432	0	 -0.1
433	0	 -0.15
434	0	 0.3499999
435	0	 0.3499999
436	0	 -0.5999995
437	0	 0.3499999
438	1	 1.4
439	0	 -0.7999994
440	1	 1.4
441	2	 -1.949998
442	0	 0.3499999
443	0	 -1.35
444	0	 0.3499999
445	0	 -2.949999
446	1	 0.65
447	0	 0.1999999
448	2	 1.9
449	0	 -0.4499997
450	0	 0.3499999
451	0	 -0.2499999
452	0	 0.3499999
453	0	 0.3499999
454	0	 0.3499999
455	1	 1.4
456	1	 1.4
457	0	 -0.1999999
458	0	 0.2999999
459	0	 -1.899998
460	2	 2.350001
461	1	 1.4
462	0	 0.3499999
463	0	 0.2999999
464	0	 0.3499999
465	0	 0.3499999
466	0	 0.3499999
467	0	 -0.4499997
468	0	 0.3499999
469	0	 0.3499999
470	0	 0.04999983
471	0	 0.1999999
472	0	 0.3499999
473	0	 -1.099999
474	0	 0.3499999
475	1	 1.4
476	0	 0.3499999
477	0	 0.2499999
478	0	 0.1999999
479	0	 -0.05000007
480	0	 -0.1
481	0	 0.3499999
482	0	 1
483	1	 1.3
484	0	 0.04999983
485	1	 0.7499999
486	0	 0.3499999
487	0	 0.3499999
488	0	 0.3499999
489	0	 0.3499999
490	1	 1.4
491	0	 -0.05000007
492	0	 -0.3999997
493	0	 0.2499999
494	0	 0.2999999
495	1	 1.4
496	0	 0.3499999
497	1	 1.35
498	1	 1.35
499	0	 0.2999999
500	0	 0.2999999
501	0	 0.3499999
502	1	 1.35
503	1	 0.2499999
504	0	 0.1999999
505	1	 0.04999971
506	0	 -1.049999
507	0	 0.3499999
508	2	 2.450001
509	1	 1.4
510	0	 -0.1999999
511	0	 0.2999999
512	0	 0.3499999
513	1	 1.3
514	1	 1.3
515	0	 -0.4999996
516	0	 0.2499999
517	0	 -0.7499994
518	1	 1.05
519	0	 -1.099999
520	0	 -0.4499997
521	0	 -0.6999995
522	0	 0.2999999
523	0	 -0.4499997
524	1	 1.4
525	0	 0.1999999
526	0	 0.3499999
527	0	 0.3499999
528	0	 -0.4999996
529	1	 -0.1
530	1	 1.4
531	1	 1.1
532	0	 0.3499999
533	0	 0.2999999
534	0	 0.3499999
535	0	 0.3499999
536	1	 1.2
537	0	 0.1999999
538	0	 0.3499999
539	0	 -0.4999996
540	2	 2.15
541	0	 0.2999999
542	1	 1.3
543	0	 0.1999999
544	0	 0.3499999
545	1	 0.2999999
546	0	 0.3499999
547	0	 0.2999999
548	0	 0.2999999
549	1	 1.25
550	0	 -0.1999999
551	0	 0.2999999
552	0	 0.3499999
553	0	 0.04999983
554	1	 1.1
555	0	 0.3499999
556	0	 0.3499999
557	2	 1.4
558	0	 -0.05000007
559	0	 0.3499999
560	1	 1.3
561	0	 0.3499999
562	0	 1
563	0	 0.09999985
564	0	 -0.2999998
565	0	 0.1999999
566	0	 -0.6499995
567	0	 0.3499999
568	0	 -1.849998
569	0	 0.3499999
570	1	 1.4
571	0	 -0.15
572	0	 0.2999999
573	0	 0.04999983
574	1	 1.5
575	0	 0.3999999
576	0	 0.4499999
577	0	 -0.05000007
578	0	 0.4499999
579	0	 0.3999999
580	0	 0.3999999
581	0	 0.09999985
582	0	 1
583	0	 -1.1
584	0	 0.2999999
585	0	 0.04999983
586	0	 0.04999983
587	0	 0.3499999
588	0	 -0.7499994
589	0	 0.4499999
590	0	 0.2499999
591	0	 0.1499999
592	0	 0.4499999
593	0	 -0.2999998
594	0	 0.4499999
595	0	 0.04999983
596	0	 0.4499999
597	0	 0.4499999
598	1	 1.4
599	0	 0.1999999
600	1	 1.05
601	0	 0.2999999
602	0	 0.4499999
603	0	 -1.6
604	0	 -1.5
605	0	 -0.9999992
606	0	 0.2999999
607	0	 0.1999999
608	1	 1.5
609	0	 0.4499999
610	1	 0.3499999
611	1	 0.5000004
612	0	 0.3999999
613	0	 0.09999985
614	0	 0.3499999
615	0	 0.3999999
616	0	 0.3999999
617	0	 -1.192093E-07
618	0	 0.4499999
619	1	 -0.1500001
620	0	 0.4499999
621	0	 0.2499999
622	0	 0.4499999
623	0	 0.3999999
624	0	 0.1499999
625	0	 1
626	0	 0.09999985
627	0	 0.3999999
628	0	 0.4499999
629	0	 0.09999985
630	1	 1.3
631	0	 0.3999999
632	0	 -1.5
633	1	 1.15
634	0	 0.3999999
635	0	 0.1499999
636	0	 0.4499999
637	1	 0.5999999
638	0	 0.3999999
639	1	 1.4
640	0	 -0.1
641	0	 -0.3499998
642	2	 2.45
643	2	 2.55
644	1	 1.5
645	1	 1.5
646	1	 1.45
647	1	 1.5
648	0	 1
649	0	 0.4499999
650	0	 0.4499999
651	0	 0.2999999
652	0	 0.4499999
653	1	 1.35
654	0	 0.3999999
655	1	 1.05
656	0	 0.4499999
657	2	 2.45
658	0	 0.3999999
659	1	 1.35
660	0	 0.4499999
661	0	 1
662	0	 0.3999999
663	0	 0.3999999
664	0	 0.3499999
665	0	 1
666	0	 -1.9
667	0	 0.3499999
668	0	 1
669	0	 0.3499999
670	0	 -0.15
671	0	 1
672	1	 0.7999999
673	0	 -1.192093E-07
674	0	 -0.6999995
675	0	 0.2499999
676	1	 1.2
677	0	 0.3499999
678	0	 -0.15
679	0	 0.04999983
680	1	 0.5000003
681	0	 -0.1
682	1	 1.15
683	0	 0.1499999
684	0	 0.2999999
685	0	 0.2999999
686	0	 0.3499999
687	0	 0.1999999
688	0	 1
689	2	 1.65
690	0	 -1.25
691	0	 -1.25
692	1	 0.6999999
693	0	 -1.192093E-07
694	0	 -0.2999998
695	0	 -0.4999996
696	0	 1
697	1	 -0.05000007
698	0	 -1.192093E-07
699	1	 1.25
700	1	 1.4
701	0	 1
702	0	 -0.1999999
703	0	 0.3499999
704	1	 1.45
705	0	 0.4499999
706	1	 1.5
707	0	 0.3999999
708	0	 0.4499999
709	0	 0.3499999
710	0	 0.3499999
711	1	 1.15
712	0	 0.3999999
713	2	 2.450001
714	1	 1.45
715	0	 0.4499999
716	0	 0.4499999
717	0	 0.3999999
718	0	 0.3999999
719	3	 1.85
720	0	 0.3499999
721	1	 1.4
722	0	 0.3499999
723	0	 0.2999999
724	0	 0.3499999
725	2	 1.4
726	0	 -0.1
727	2	 2.45
728	0	 -0.5499996
729	0	 0.3499999
730	0	 0.2499999
731	0	 0.4499999
732	0	 1
733	0	 0.3999999
734	0	 0.4499999
735	0	 0.2999999
736	1	 0.2999999
737	0	 -0.2499999
738	0	 0.1999999
739	0	 -0.9999992
740	0	 0.3499999
741	0	 0.3499999
742	0	 0.2999999
743	0	 -1.15
744	0	 0.4499999
745	0	 0.3499999
746	1	 0.3499999
747	0	 -0.1
748	0	 0.09999985
749	0	 1
750	0	 0.3499999
751	0	 -0.5499996
752	1	 0.1499999
753	0	 0.4499999
754	0	 -1.192093E-07
755	0	 0.4499999
756	2	 1.45
757	0	 -0.6999995
758	1	 1.1
759	0	 0.2999999
760	0	 1
761	0	 -1.149999
762	0	 0.2499999
763	0	 1
764	0	 0.2499999
765	0	 0.2999999
766	0	 0.04999983
767	0	 1
768	0	 0.3499999
769	1	 -1.15
770	0	 -1.3
771	0	 0.4499999
772	0	 -1.9
773	0	 -0.2499999
774	0	 -2.349998
775	0	 0.1499999
776	0	 -1.192093E-07
777	2	 2.450001
778	0	 -0.4499997
779	0	 0.3499999
780	0	 0.3999999
781	0	 0.3499999
782	0	 0.4499999
783	0	 -1.192093E-07
784	0	 0.4499999
785	0	 0.4499999
786	0	 -1.192093E-07
787	0	 -0.15
788	1	 -1.15
789	2	 1.25
790	0	 0.3499999
791	0	 1
792	0	 -1.95
793	0	 -2.1
794	1	 -0.3000001
795	0	 -1.3
796	0	 -31.79979
797	0	 -1.5
798	0	 0.3499999
799	0	 -1.95
800	0	 -1.5
801	0	 -2.65
802	0	 -1
803	2	 1.95
804	0	 0.1499999
805	0	 -0.1
806	0	 -1.049999
807	0	 -1.699999
808	0	 0.1999999
809	0	 0.1999999
810	0	 0.1999999
811	0	 -1.599999
812	0	 0.1999999
813	0	 -1.949998
814	0	 0.1999999
815	0	 0.1999999
816	0	 -1.65
817	0	 -1.55
818	0	 -2
819	0	 -1.75
820	0	 -1.4
821	2	 1.35
822	0	 -1.35
823	0	 -12.75003
824	3	 -12.85004
825	0	 -1.75
826	0	 -1.8
827	1	 -0.5000001
828	0	 -3.599999
829	0	 -1.75
830	0	 -0.5999995
831	0	 -1.599999
832	0	 0.1499999
833	1	 -3.95
834	1	 0.2499998
835	0	 0.09999985
836	0	 0.3999999
837	0	 0.4499999
838	0	 1
839	0	 0.3999999
840	0	 0.04999983
841	0	 1
842	0	 -0.05000007
843	0	 0.4499999
844	0	 0.4499999
845	1	 1.5
846	0	 -0.1999999
847	0	 0.3999999
848	0	 0.3999999
849	0	 0.4499999
850	0	 0.1499999
851	0	 0.4499999
852	0	 1
853	0	 0.3499999
854	1	 1.35
855	1	 0.6999999
856	1	 1.5
857	0	 0.4499999
858	0	 0.2999999
859	1	 1.15
860	0	 0.4499999
861	0	 0.4499999
862	0	 0.4499999
863	1	 0.5999999
864	1	 1.15
865	0	 0.4499999
866	0	 0.3999999
867	0	 0.3499999
868	0	 -1.192093E-07
869	1	 1.5
870	0	 0.4499999
871	0	 0.3999999
872	0	 -1.192093E-07
873	0	 -1.65
874	0	 -1.4
875	0	 0.4499999
876	0	 0.4499999
877	0	 0.3999999
878	0	 -0.6999995
879	0	 -0.4999996
880	0	 -0.3999997
881	0	 -0.3499998
882	1	 0.6500001
883	0	 0.4499999
884	0	 0.4499999
885	0	 0.3999999
886	0	 0.4499999
887	2	 2.55
888	0	 0.4499999
889	0	 -0.15
890	0	 0.4499999
891	0	 0.3999999
892	0	 -0.7499994
893	0	 0.4499999
894	0	 0.04999983
895	0	 0.4499999
896	1	 1.5
897	0	 -1.192093E-07
898	0	 -1.449999
899	0	 0.4499999
900	0	 0.4499999
901	2	 2.55
902	0	 -0.05000007
903	0	 0.4499999
904	1	 1.5
905	0	 0.3999999
906	0	 -0.1999999
907	0	 0.4499999
908	0	 -0.15
909	0	 0.4499999
910	1	 0.3999999
911	0	 0.4499999
912	0	 0.1999999
913	0	 0.4499999
914	0	 0.3499999
915	0	 0.4499999
916	0	 0.4499999
917	2	 2.55
918	0	 1
919	0	 -0.4499997
920	0	 -0.3999997
921	0	 -0.6499995
922	0	 0.1499999
923	0	 0.4499999
924	0	 0.2999999
925	1	 1.3
926	3	 3.5
927	0	 0.4499999
928	0	 0.3499999
929	0	 0.4499999
930	0	 0.4499999
931	0	 0.3499999
932	0	 0.3999999
933	0	 0.3999999
934	2	 2.15
935	0	 0.4499999
936	0	 0.4499999
937	3	 3.55
938	0	 0.04999983
939	0	 0.3499999
940	0	 0.2999999
941	0	 0.3999999
942	0	 0.3999999
943	0	 0.4499999
944	1	 0.7500001
945	1	 -0.15
946	0	 0.4499999
947	0	 -0.2999998
948	0	 0.09999985
949	0	 0.4499999
950	0	 0.3999999
951	0	 -0.3499998
952	1	 1.4
953	0	 0.09999985
954	0	 0.1499999
955	0	 0.4499999
956	0	 0.3499999
957	0	 1
958	0	 0.3499999
959	2	 2.55
960	0	 -1.349999
961	0	 -0.2499999
962	0	 0.3499999
963	0	 0.2999999
964	0	 -0.1
965	1	 1.05
966	0	 0.09999985
967	0	 0.4499999
968	0	 -1.399999
969	0	 0.3499999
970	0	 0.4499999
971	1	 1.4
972	0	 0.1999999
973	0	 0.09999985
974	1	 1.15
975	0	 0.4499999
976	0	 0.3999999
977	0	 0.3499999
978	1	 1.3
979	0	 0.2999999
980	0	 0.3499999
981	0	 -0.1
982	1	 1.15
983	0	 0.3499999
984	0	 0.4499999
985	2	 1.750001
986	0	 0.2499999
987	0	 0.3499999
988	0	 0.3499999
989	0	 0.3499999
990	0	 0.2999999
991	0	 0.1999999
992	0	 0.4499999
993	0	 0.3999999
994	0	 0.09999985
995	0	 1
996	0	 0.3499999
997	0	 -0.4499997
998	0	 0.3499999
999	0	 0.4499999
1000	0	 0.2999999
1001	0	 0.3999999
1002	0	 0.3499999
1003	0	 0.4499999
1004	0	 0.3999999
1005	0	 0.4499999
